Время, с;Обороты;Нагрузка (ось карт);Наполнение мгновенное;Дроссель открытие;Впрыск, мс;Мёртвое время форсунки;Обогащение ускорения;Смесь из карты (сырьё);УОЗ сырьё;УОЗ из карты;Поправка угла по детонации, °;Давление, кПа;VE (ДАД);Ktps (ДАД);Коррекция по лямбде;Живая карта;Состояние указателя;УОЗ, градусы;Нагрузка TP;Газ, %;Впрыск расчётный, мс;Загрузка форсунок, %;K форсунок;КМ (ДАД);AFR цель;AFR факт (ШДК);Поправка VE (факт/цель);ФЛАГ Отсечка;ФЛАГ Впрыск разрешён;ФЛАГ Замкнутый цикл;ФЛАГ Крэнк;ФЛАГ Нейтраль;ФЛАГ Холостой ход;ФЛАГ Стартер;ФЛАГ Неисправность TPS;ФЛАГ $0053.08 гейт наката;ФЛАГ $0053.40 гейт наката;ФЛАГ $0053.80 не разобран;АЦП Расходомер/ДАД;АЦП Дроссель;АЦП Напряжение борта;АЦП Температура ОЖ;АЦП Лямбда;АЦП канал 9 (свободный)
26.14;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;14.9;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;38
26.54;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;16.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;38
26.74;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;16.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;44
27.14;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;50
27.56;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;41
27.95;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;17.1;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;38
28.34;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;17.3;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;38
28.75;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.8;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;38
29.16;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.9;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;108
29.55;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;16.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;49
29.96;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;16.7;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;41
30.17;0.0;0;0;0;7.5;95;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.48;;;;;17.2;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;38
30.55;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;14.9;;0;0;0;0;1;1;0;0;0;1;0;16;42;147;79;0;77
30.96;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;;;;15.0;;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;40
31.38;0.0;0;0;0;7.5;94;0;64;55;15;0;0;0.0;0.0;1.0;0;0;15;0.0;0.0;3.47;;345;128;14.7;16.6;1.129;0;0;0;0;1;1;0;0;0;1;0;16;42;148;79;0;109
32.48;;;;;;;;;;;;;;;;;;;;;;;345;128;;15.3;;;;;;;;;;;;;;;;;;
